#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-14T21:10:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62a8f53d18970b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=37	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/244/21&tab:{J/ApJS/244/21/table3}&key:source=J/ApJS/244/21&HTTPPRM:&&-ref=VIZ62a8f53d18970b&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/244/21/table3
#-order=I
#-out=KIC
#-out=Kpmag
#-out=Q
#-out=Teff
#-out=E_Teff
#-out=e_Teff
#-out=logg
#-out=E_logg
#-out=e_logg
#-out=Mass
#-out=E_Mass
#-out=e_Mass
#-out=Prot
#-out=E_Prot
#-out=Sph
#-out=E_Sph
#-out=Fl1
#-out=DMK
#-out=Fl2
#-out=Fl3
#-out=Fl4
#-out=Fl5
#-out=M17
#M17=M17
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_22440021
#Name: J/ApJS/244/21
#Title: Surface rotation & activity of Kepler stars. I. (Santos+, 2019)
#Table	J_ApJS_244_21_table3:
#Name: J/ApJS/244/21/table3
#Title: Stellar properties for stars with successfully recovered rotation period
#Column	KIC	(I8)	[892834/12984138] Kepler Input Catalog ID	[ucd=meta.id;meta.main]
#Column	Kpmag	(F6.3)	[9/20]? Kepler magnitude	[ucd=phot.mag;em.opt]
#Column	Q	(A5)	First and last observed Kepler Quarters	[ucd=meta.note]
#Column	Teff	(I4)	[2500/5199] Effective temperature	[ucd=phys.temperature.effective]
#Column	E_Teff	(I3)	[0/636] Upper uncertainty on Teff	[ucd=stat.error;stat.max]
#Column	e_Teff	(I3)	[0/706] Lower uncertainty on Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F6.3)	[4.3/5.4] Log surface gravity	[ucd=phys.gravity]
#Column	E_logg	(F6.3)	[0/0.3] Upper uncertainty on logg	[ucd=stat.error;stat.max]
#Column	e_logg	(F6.3)	[0/0.9] Lower uncertainty on logg	[ucd=stat.error]
#Column	Mass	(F6.3)	[0.08/1] Mass	[ucd=phys.mass]
#Column	E_Mass	(F6.3)	[0/0.2] Upper uncertainty on Mass	[ucd=stat.error;stat.max]
#Column	e_Mass	(F6.3)	[0/0.3] Lower uncertainty on Mass	[ucd=stat.error;phys.mass]
#Column	Prot	(F6.2)	[0.2/143.1] Rotation period	[ucd=time.period]
#Column	E_Prot	(F5.2)	[0.03/14]? Uncertainty on Prot	[ucd=stat.error;stat.max]
#Column	Sph	(F7.1)	[1.6/65595.7] Photometric activity proxy	[ucd=spect.index]
#Column	E_Sph	(F7.1)	[2.9/11377.5] Uncertainty on Sph	[ucd=stat.error;stat.max]
#Column	Fl1	(I1)	[1]? CP/CB candidate flag (1=Type 1 CP/CB candidate) (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	DMK	(F6.3)	[-1.3/0.8]? Luminosity excess correction (G1)	[ucd=phot.color.excess]
#Column	Fl2	(I1)	[0/1]? GAIA binary flag (G2) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl3	(I1)	[0/1]? GAIA subgiant flag (G3) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl4	(I1)	[0/1]? KOI flag (G4) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl5	(I1)	[0/2]? FliPer Class flag (G5) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	M17	(A3)	Display the data from the KSPC DR25 (Mathur+, 2017, J/ApJS/229/30)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from KIC catalog (V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from KIC catalog (V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
KIC	Kpmag	Q	Teff	E_Teff	e_Teff	logg	E_logg	e_logg	Mass	E_Mass	e_Mass	Prot	E_Prot	Sph	E_Sph	Fl1	DMK	Fl2	Fl3	Fl4	Fl5	M17	Simbad	_RA	_DE
 5887803	14.764	 1-17	4121	130	144	 4.631	 0.052	 0.017	 0.631	 0.049	 0.058	 36.69	 5.43	  454.5	   16.7	 	      	0	0	 	0	M17	Simbad	295.16635	+41.12936
 5888258	15.488	 1-17	4612	139	139	 4.715	 0.052	 0.028	 0.534	 0.039	 0.025	 27.99	 2.98	  323.4	   19.2	 	      	1	0	 	0	M17	Simbad	295.29077	+41.16197
 5891455	15.335	 2-15	4455	155	171	 4.699	 0.059	 0.032	 0.536	 0.045	 0.034	 46.09	 5.87	  418.8	   18.8	 	      	1	0	 	0	M17	Simbad	296.06039	+41.11464
 5891780	15.552	 4-17	4867	186	169	 4.513	 0.077	 0.056	 0.784	 0.067	 0.054	 15.32	 1.45	 1378.4	   57.2	 	      	0	0	 	0	M17	Simbad	296.12457	+41.15271
 5892011	15.959	 1-17	3951	118	118	 4.674	 0.049	 0.021	 0.576	 0.047	 0.043	 19.12	 1.51	  962.7	   42.9	 	      	0	0	 	0	M17	Simbad	296.18445	+41.15440
 5892229	15.889	 1-17	4919	146	146	 4.566	 0.066	 0.039	 0.697	 0.090	 0.053	 33.06	 3.15	  549.8	   22.9	 	      	1	0	 	0	M17	Simbad	296.23654	+41.13555
 5892340	15.550	 4-17	4671	167	167	 4.636	 0.024	 0.052	 0.750	 0.051	 0.070	 17.35	 1.32	 2575.1	   90.4	 	      	0	0	 	0	M17	Simbad	296.26358	+41.13945
 5893006	15.058	 1-17	4740	141	141	 4.570	 0.063	 0.027	 0.703	 0.078	 0.052	 38.77	 5.13	  814.9	   22.2	 	      	0	0	 	0	M17	Simbad	296.40952	+41.10491
 5893924	15.741	 4-17	5179	181	181	 4.546	 0.052	 0.084	 0.817	 0.084	 0.076	 31.49	 3.30	  816.6	   32.8	 	      	0	0	 	0	M17	Simbad	296.61139	+41.16882
 5894155	15.044	 1-17	4440	135	162	 4.754	 0.063	 0.032	 0.500	 0.034	 0.034	  3.55	 0.24	21325.3	 1465.5	 	-0.590	1	0	 	2	M17	Simbad	296.66791	+41.13991
 5894341	15.911	 1-17	3416	 51	 46	 4.917	 0.046	 0.035	 0.330	 0.045	 0.040	 28.78	 1.93	 2375.4	   68.2	 	      	0	0	 	0	M17	Simbad	296.71066	+41.12743
 5894682	15.661	 4-17	4604	165	165	 4.591	 0.059	 0.027	 0.675	 0.075	 0.054	 12.88	 0.91	  758.8	   41.4	 	      	 	 	 	0	M17	Simbad	296.79752	+41.19868
 5895344	13.393	 0-17	5128	153	153	 4.495	 0.100	 0.325	 0.774	 0.106	 0.057	 28.79	 3.61	  519.5	   14.9	 	      	0	0	 	0	M17	Simbad	296.94421	+41.13513
 5895623	15.817	 1-17	4728	187	187	 4.593	 0.028	 0.046	 0.811	 0.041	 0.070	 16.65	 1.36	 1604.5	   64.5	 	      	 	 	 	0	M17	Simbad	297.00546	+41.15603
 5895719	14.569	 1-17	4800	129	143	 4.486	 0.087	 0.696	 0.805	 0.047	 0.042	 43.02	 1.56	 1124.9	   36.4	 	      	0	0	 	0	M17	Simbad	297.02762	+41.16889
 5895919	14.435	 1-17	3713	 44	 50	 4.798	 0.035	 0.028	 0.469	 0.026	 0.031	 18.47	 1.27	  587.7	   22.9	 	      	 	 	 	0	M17	Simbad	297.06747	+41.13742
 5896585	14.847	 1-17	4514	134	134	 4.603	 0.053	 0.021	 0.663	 0.067	 0.054	 11.13	 0.76	 1778.6	   77.0	 	      	0	0	 	0	M17	Simbad	297.21832	+41.10004
 5897056	15.958	 2-17	5039	151	151	 4.611	 0.030	 0.070	 0.801	 0.063	 0.087	  6.85	 0.48	26353.4	 1312.1	 	-0.098	0	0	 	2	M17	Simbad	297.31769	+41.17561
 5897811	15.845	 1-17	4568	137	124	 4.661	 0.024	 0.052	 0.699	 0.055	 0.073	 44.53	 3.22	 1015.9	   28.3	 	      	0	0	 	2	M17	Simbad	297.47211	+41.14641
 5897952	14.239	 1-17	4086	142	156	 4.682	 0.031	 0.045	 0.662	 0.033	 0.065	 39.34	 5.06	  348.2	   10.4	 	      	0	0	 	0	M17	Simbad	297.50287	+41.13830
 5898374	14.981	 1-17	4810	143	129	 4.536	 0.072	 0.039	 0.755	 0.071	 0.053	 26.12	 1.93	 1048.0	   32.5	 	      	1	0	 	0	M17	Simbad	297.58545	+41.11189
 5898706	15.280	 1-17	5195	156	156	 4.620	 0.044	 0.066	 0.708	 0.079	 0.050	  0.59	 0.04	  432.0	  123.2	 	      	 	 	 	0	M17	Simbad	297.66205	+41.17303
 5900212	14.512	 1-17	4898	146	146	 4.510	 0.071	 0.142	 0.786	 0.072	 0.054	 37.71	 2.84	 1007.6	   24.9	 	      	0	0	 	0	M17	Simbad	297.99417	+41.15156
 5900253	15.509	 2- 3	5171	171	155	 4.428	 0.147	 0.315	 0.845	 0.084	 0.061	 24.37	 3.55	  327.1	   25.4	 	      	0	0	 	0	M17	Simbad	298.00598	+41.17922
 5900518	15.189	 1-17	4906	174	145	 4.519	 0.084	 0.052	 0.771	 0.073	 0.060	 15.11	 1.24	 1568.6	   61.1	 	      	0	0	 	0	M17	Simbad	298.07379	+41.12734
 5900600	15.324	 1-17	3856	 54	 61	 4.716	 0.030	 0.015	 0.535	 0.026	 0.022	 13.90	 0.95	 2195.6	   86.2	 	      	0	0	 	0	M17	Simbad	298.09476	+41.19971
 5901840	15.308	 1-17	4246	115	128	 4.633	 0.049	 0.021	 0.619	 0.062	 0.056	 14.39	 1.27	 1050.5	   49.8	 	      	0	0	 	0	M17	Simbad	298.35718	+41.12207
 5902460	15.814	 4-17	5004	199	159	 4.580	 0.025	 0.080	 0.898	 0.037	 0.080	 15.64	 1.35	  590.3	   33.7	 	      	 	 	 	0	M17	Simbad	298.49222	+41.10747
 5902629	15.720	 1-17	4356	118	131	 4.660	 0.042	 0.032	 0.602	 0.065	 0.053	 28.98	 2.22	 2709.0	   74.3	 	      	0	0	 	0	M17	Simbad	298.52524	+41.17309
 5902749	15.827	 4-17	4937	179	179	 4.524	 0.078	 0.052	 0.758	 0.083	 0.060	  9.49	 0.67	 2204.1	  110.4	 	      	0	0	 	0	M17	Simbad	298.54840	+41.16666
 5904275	15.613	 1-17	3424	 61	 54	 4.913	 0.054	 0.041	 0.338	 0.052	 0.052	 30.63	 2.57	 2585.3	   68.7	 	      	0	0	 	0	M17	Simbad	298.85995	+41.19524
 5905229	13.955	 1-17	4697	139	125	 4.581	 0.054	 0.027	 0.700	 0.077	 0.058	 15.64	 1.25	 1020.9	   37.5	 	      	0	0	 	0	M17	Simbad	299.04221	+41.11421
 5905323	15.686	 2-17	4836	146	146	 4.597	 0.040	 0.044	 0.740	 0.068	 0.068	  4.59	 0.34	   81.0	   29.3	 	      	1	0	 	0	M17	Simbad	299.05869	+41.11120
 5905382	15.570	 1-17	3909	122	150	 4.656	 0.060	 0.020	 0.613	 0.036	 0.067	 32.15	 2.74	  552.9	   21.0	 	      	0	0	 	0	M17	Simbad	299.07098	+41.14139
 5905536	15.586	 4-17	5167	196	179	 4.529	 0.077	 0.070	 0.763	 0.098	 0.065	 26.67	 2.31	 1469.4	   45.8	 	      	0	0	 	0	M17	Simbad	299.10086	+41.15649
 5906694	14.885	 1-17	4522	136	136	 4.615	 0.049	 0.025	 0.646	 0.071	 0.051	  7.82	 0.54	17318.7	  803.0	1	      	0	0	1	0	M17	Simbad	299.35190	+41.19574
 5906714	15.940	 4-17	4458	159	159	 4.611	 0.056	 0.024	 0.645	 0.070	 0.057	 13.06	 0.88	 2811.0	  117.1	 	      	 	 	 	0	M17	Simbad	299.35577	+41.11447
 5936645	15.649	 1-16	4728	127	142	 4.547	 0.065	 0.030	 0.745	 0.064	 0.053	 21.07	 1.69	 1318.0	   51.8	 	      	0	0	 	0	M17	Simbad	282.21921	+41.29969
 5937046	15.229	 1-16	4427	133	133	 4.627	 0.052	 0.024	 0.619	 0.070	 0.044	 43.32	 4.21	 3176.2	   78.8	 	      	0	0	 	0	M17	Simbad	282.44473	+41.26631
 5937190	14.764	 1-16	5063	136	151	 4.617	 0.030	 0.075	 0.813	 0.055	 0.095	 34.94	 3.56	 1151.8	   34.3	 	      	0	0	 	0	M17	Simbad	282.51212	+41.27301
 5937213	15.159	 1-16	3629	 65	 72	 4.846	 0.050	 0.041	 0.434	 0.036	 0.053	 20.49	 1.67	  946.8	   37.6	 	      	0	0	 	0	M17	Simbad	282.52118	+41.25827
 5937264	14.633	 1-16	3865	 69	 69	 4.715	 0.033	 0.018	 0.538	 0.028	 0.025	 15.32	 1.23	  981.7	   40.5	 	      	0	0	 	0	M17	Simbad	282.54868	+41.23937
 5937488	16.690	 6- 6	3965	 99	109	 4.723	 0.049	 0.040	 0.556	 0.047	 0.058	 23.87	 1.89	 5967.6	  360.8	 	      	0	0	 	0	M17	Simbad	282.64908	+41.24797
 5937679	15.109	 1-16	4296	127	127	 4.673	 0.054	 0.027	 0.557	 0.061	 0.046	 34.95	 3.51	 1499.7	   45.0	 	      	0	0	 	0	M17	Simbad	282.73523	+41.24043
 5938347	14.046	 1-16	4841	144	130	 4.644	 0.059	 0.032	 0.603	 0.059	 0.030	 23.54	 2.38	  326.9	   14.1	 	      	0	0	 	0	M17	Simbad	283.04202	+41.21007
 5938531	15.962	 1-16	3708	 81	 81	 4.770	 0.048	 0.028	 0.483	 0.039	 0.039	 14.79	 1.12	 2666.5	  114.0	 	      	0	0	 	0	M17	Simbad	283.12854	+41.29056
 5938905	16.654	 6- 6	3452	 46	 46	 5.060	 0.032	 0.046	 0.228	 0.035	 0.029	 36.43	 4.28	 2633.4	  185.1	 	      	0	0	 	2	M17	Simbad	283.31964	+41.24013
 5938970	14.073	 1-16	4641	 74	 83	 4.557	 0.049	 0.014	 0.734	 0.044	 0.028	 15.21	 1.33	 1012.5	   39.6	 	      	0	0	0	0	M17	Simbad	283.34448	+41.20174
 5939072	15.826	 1-16	4594	138	138	 4.617	 0.039	 0.032	 0.698	 0.062	 0.062	 23.54	 1.77	 5026.3	  167.0	 	      	0	0	 	0	M17	Simbad	283.40204	+41.26566
 5939166	13.894	 1-16	4889	145	145	 4.495	 0.088	 0.064	 0.807	 0.057	 0.052	 48.40	 7.39	  638.8	   16.6	 	      	0	0	 	0	M17	Simbad	283.44476	+41.28225
 5939498	14.581	 1-16	4930	133	148	 4.598	 0.066	 0.039	 0.651	 0.084	 0.042	 20.27	 2.39	  200.2	   12.7	 	      	0	0	 	0	M17	Simbad	283.58047	+41.28267
 5939661	15.421	 1-16	3712	 66	 74	 4.806	 0.055	 0.044	 0.471	 0.038	 0.057	 25.94	 2.11	 1457.5	   52.3	 	      	0	0	 	0	M17	Simbad	283.64719	+41.26434
 5940100	15.892	 1-16	3356	 45	 45	 4.965	 0.055	 0.049	 0.270	 0.057	 0.041	 42.44	 4.40	 1255.4	   39.6	 	      	 	 	 	0	M17	Simbad	283.86133	+41.21817
 5940165	14.796	 1-16	4458	133	133	 4.611	 0.052	 0.024	 0.645	 0.070	 0.051	 15.64	 1.16	 2366.5	   89.9	 	      	0	0	0	0	M17	Simbad	283.89941	+41.22161
 5941047	16.690	 6- 6	3954	 47	 59	 4.726	 0.020	 0.022	 0.553	 0.019	 0.025	 14.39	 1.25	  648.5	   83.0	 	      	0	0	 	0	M17	Simbad	284.34808	+41.26429
 5941130	16.901	 6- 6	3288	 54	 44	 5.033	 0.066	 0.054	 0.210	 0.054	 0.044	 27.61	 2.63	 4669.4	  303.4	 	      	0	0	 	0	M17	Simbad	284.39615	+41.28741
 5941214	15.984	 4-16	4830	172	172	 4.523	 0.078	 0.048	 0.774	 0.068	 0.054	 20.07	 1.78	  858.1	   46.3	 	      	0	0	 	0	M17	Simbad	284.43530	+41.26181
 5941354	15.628	 1-16	3843	 69	 77	 4.720	 0.036	 0.018	 0.531	 0.030	 0.030	 38.77	 3.82	 1260.9	   40.1	 	      	0	0	 	0	M17	Simbad	284.51138	+41.29616
 5941726	15.644	 4-16	4912	177	177	 4.537	 0.072	 0.048	 0.743	 0.085	 0.054	 16.53	 1.31	 2894.2	  116.6	 	      	0	0	 	0	M17	Simbad	284.70261	+41.22826
 5941911	15.687	 1-16	4746	170	170	 4.627	 0.032	 0.048	 0.715	 0.069	 0.069	 22.11	 3.65	 1074.3	   46.7	 	      	1	0	 	0	M17	Simbad	284.78232	+41.22422
 5942138	13.691	 1- 1	3986	126	168	 4.711	 0.090	 0.036	 0.523	 0.064	 0.071	 16.34	 1.64	  656.0	   67.4	 	      	 	 	 	0	M17	Simbad	284.89777	+41.21170
 5942172	15.544	 1-16	4827	146	131	 4.558	 0.065	 0.035	 0.717	 0.081	 0.054	 14.10	 1.16	 1144.9	   54.1	 	      	1	0	 	0	M17	Simbad	284.92029	+41.26623
 5942773	16.736	 6- 6	4243	134	164	 4.669	 0.063	 0.027	 0.564	 0.062	 0.051	 17.35	 1.43	 3313.9	  224.2	 	      	0	0	 	2	M17	Simbad	285.19836	+41.23904
 5942808	15.622	 4-16	4922	169	169	 4.505	 0.084	 0.056	 0.790	 0.073	 0.054	 24.54	 1.89	 2972.5	  106.6	 	      	0	0	1	0	M17	Simbad	285.21667	+41.28243
 5942891	14.500	 1-16	3852	 50	 46	 4.720	 0.028	 0.015	 0.534	 0.024	 0.022	  9.56	 0.69	12717.7	  555.6	 	      	0	0	 	0	M17	Simbad	285.25568	+41.25450
 5942949	15.699	 1-16	4806	144	129	 4.564	 0.065	 0.030	 0.709	 0.080	 0.058	 23.87	 1.84	 2231.0	   81.3	 	      	0	0	1	0	M17	Simbad	285.29193	+41.25569
 5942985	14.749	 1-16	4867	159	159	 4.740	 0.039	 0.024	 0.537	 0.035	 0.019	  6.01	 0.42	  884.7	   60.4	 	-1.219	 	 	 	0	M17	Simbad	285.31226	+41.22059
 5943072	16.735	 2- 2	4422	131	131	 4.677	 0.036	 0.040	 0.618	 0.059	 0.053	 32.38	 3.75	 2784.4	  198.8	 	      	0	0	 	2	M17	Simbad	285.35919	+41.25219
 5943174	15.542	 1-16	5050	151	136	 4.532	 0.077	 0.063	 0.734	 0.103	 0.055	 15.00	 1.20	 4267.9	  160.9	 	      	 	 	 	0	M17	Simbad	285.40799	+41.25747
 5943305	16.323	 6- 6	4353	152	168	 4.687	 0.063	 0.031	 0.541	 0.052	 0.042	 23.87	 1.98	 4272.4	  258.8	 	      	0	0	 	0	M17	Simbad	285.46902	+41.20961
 5943359	14.071	 1-16	4218	115	140	 4.691	 0.063	 0.032	 0.535	 0.056	 0.046	 45.16	 7.22	 1008.5	   25.0	 	      	0	0	 	0	M17	Simbad	285.49292	+41.26993
 5943385	15.626	 1-16	2661	  0	  0	 5.283	 0.000	 0.000	 0.094	 0.000	 0.000	103.56	     	 6280.9	   98.1	 	      	 	 	 	0	M17	Simbad	285.50443	+41.23410
 5943513	16.089	 2- 4	4889	146	146	 4.570	 0.065	 0.058	 0.693	 0.095	 0.054	 24.88	 3.37	  228.6	   23.9	 	      	1	0	 	0	M17	Simbad	285.57181	+41.26148
 5943889	16.677	 6- 6	3364	 45	 40	 4.958	 0.044	 0.044	 0.278	 0.047	 0.039	  5.84	 0.45	 4169.6	  269.5	1	      	 	 	 	0	M17	Simbad	285.75839	+41.26381
 5944731	15.758	 1-16	4771	130	144	 4.586	 0.058	 0.031	 0.681	 0.086	 0.053	 12.02	 1.07	 1052.4	   55.7	 	      	1	0	 	0	M17	Simbad	286.15311	+41.25378
 5944764	16.181	 6- 6	3223	 38	 24	 5.113	 0.066	 0.054	 0.161	 0.036	 0.026	 28.98	 2.65	11151.6	  614.3	 	      	0	0	 	0	M17	Simbad	286.16806	+41.24245
 5946806	15.917	 2-16	3352	 50	 45	 4.969	 0.045	 0.050	 0.267	 0.055	 0.037	 48.07	 4.04	 2323.3	   61.7	 	      	0	0	 	0	M17	Simbad	287.11255	+41.26504
 5949511	15.623	 1-17	5114	196	179	 4.522	 0.080	 0.072	 0.746	 0.098	 0.057	 27.42	 2.46	  690.0	  690.0	 	      	 	 	 	0	M17	Simbad	288.27917	+41.22433
 5949548	16.309	 6-17	3489	 95	105	 4.868	 0.084	 0.052	 0.388	 0.065	 0.089	 38.50	 1.17	 3073.5	  128.8	 	      	0	0	 	0	M17	Simbad	288.29559	+41.21580
 5949718	15.842	 1-17	4643	139	125	 4.642	 0.024	 0.056	 0.744	 0.050	 0.067	 35.93	 5.56	  567.5	   22.0	 	      	0	0	 	0	M17	Simbad	288.35947	+41.26784
 5950024	14.297	 1-17	3887	 93	101	 4.712	 0.046	 0.028	 0.545	 0.041	 0.046	 14.09	 1.10	 2208.6	   81.0	 	      	0	0	 	0	M17	Simbad	288.46970	+41.21345
 5950226	14.865	 1-17	5055	164	149	 4.436	 0.142	 0.484	 0.845	 0.068	 0.049	 35.43	 3.22	 1302.3	   33.0	 	      	0	0	 	0	M17	Simbad	288.54807	+41.29268
 5950287	15.564	 1-17	4423	132	132	 4.588	 0.053	 0.018	 0.690	 0.054	 0.048	 36.18	 4.98	  532.6	   19.3	 	      	 	 	 	0	M17	Simbad	288.57321	+41.26863
 5950320	15.605	 1-17	4617	137	137	 4.594	 0.052	 0.028	 0.674	 0.075	 0.048	 35.93	 4.02	 1675.4	   44.0	 	      	0	0	 	0	M17	Simbad	288.58762	+41.21411
 5950459	15.956	 1-17	4948	151	136	 4.627	 0.032	 0.063	 0.777	 0.057	 0.093	 26.67	 2.21	  886.7	   34.5	 	      	0	0	 	0	M17	Simbad	288.63770	+41.26913
 5950533	14.261	 1-17	3817	120	147	 4.681	 0.068	 0.023	 0.584	 0.039	 0.073	 20.35	 1.49	 2867.2	   85.9	 	      	0	0	 	0	M17	Simbad	288.66360	+41.22426
 5950605	15.253	 1-17	4508	134	134	 4.684	 0.056	 0.028	 0.551	 0.049	 0.031	 13.71	 0.99	 3202.4	  121.0	 	      	0	0	 	0	M17	Simbad	288.69080	+41.26127
 5950611	15.426	 1-17	3631	 54	 54	 4.864	 0.038	 0.031	 0.405	 0.034	 0.041	 16.88	 1.22	 1720.7	   64.1	 	      	0	0	 	0	M17	Simbad	288.69370	+41.29848
 5950617	13.639	 1-17	5095	153	138	 4.501	 0.088	 0.072	 0.779	 0.088	 0.059	 36.44	 5.02	  293.8	    8.8	 	      	0	0	 	0	M17	Simbad	288.69547	+41.28165
 5950695	14.139	 1-17	4813	146	131	 4.565	 0.066	 0.033	 0.706	 0.088	 0.054	 30.21	 3.39	  557.4	   16.6	 	      	 	 	 	0	M17	Simbad	288.72998	+41.28345
 5950779	15.737	 1-17	3441	 46	 46	 4.929	 0.052	 0.032	 0.320	 0.045	 0.041	 36.17	 2.61	 1581.4	   42.7	 	      	0	0	 	0	M17	Simbad	288.75854	+41.25770
 5950936	14.399	 1-17	4922	148	148	 4.624	 0.025	 0.065	 0.795	 0.049	 0.090	 31.49	 2.68	 1521.0	   38.7	 	      	0	0	 	0	M17	Simbad	288.81631	+41.21496
 5950982	15.462	 1-17	5139	153	138	 4.609	 0.033	 0.077	 0.825	 0.057	 0.098	 21.81	 1.96	 1854.0	   60.3	 	      	0	0	 	0	M17	Simbad	288.82996	+41.21504
 5952338	12.763	 0-17	5006	181	181	 4.580	 0.050	 0.055	 0.736	 0.087	 0.063	 44.85	 5.13	  234.7	    6.0	 	      	0	0	 	0	M17	Simbad	289.27023	+41.20368
 5952385	15.784	 4-17	4583	164	164	 4.607	 0.059	 0.027	 0.649	 0.077	 0.051	 33.06	 4.02	  658.9	   24.5	 	      	0	0	 	0	M17	Simbad	289.28375	+41.20867
 5952457	15.283	 1-17	4949	151	136	 4.552	 0.072	 0.044	 0.715	 0.093	 0.050	 40.98	 8.20	  626.1	   18.6	 	      	 	 	 	0	M17	Simbad	289.29977	+41.27875
 5952853	13.296	 0-17	4251	 76	 84	 4.672	 0.010	 0.040	 0.665	 0.027	 0.037	 12.44	 0.95	 3389.7	  126.5	 	      	0	0	 	0	M17	Simbad	289.41837	+41.29104
 5953007	14.948	 1-17	5087	151	151	 4.527	 0.085	 0.114	 0.736	 0.104	 0.061	 19.39	 1.52	 2865.6	   90.4	 	      	0	0	 	0	M17	Simbad	289.46701	+41.21218
 5953138	15.015	 1-17	3499	 41	 47	 4.894	 0.036	 0.030	 0.369	 0.038	 0.041	 36.68	 2.79	 1125.2	   29.2	 	      	0	0	 	0	M17	Simbad	289.50253	+41.23976
 5953179	16.864	 3-17	5128	184	184	 4.609	 0.033	 0.083	 0.821	 0.065	 0.098	 12.18	 0.83	 2907.9	  173.8	 	      	0	0	 	0	M17	Simbad	289.51733	+41.20679
 5953297	14.009	 1-17	4868	 78	 78	 4.600	 0.014	 0.049	 0.814	 0.029	 0.050	 12.27	 0.87	 2268.4	   88.0	 	      	 	 	1	0	M17	Simbad	289.55301	+41.29785
 5953849	14.901	 1-17	5008	149	149	 4.602	 0.020	 0.080	 0.869	 0.037	 0.086	 34.46	 4.54	  761.3	   21.8	 	      	0	0	 	0	M17	Simbad	289.73056	+41.24029
 5953934	14.727	 1-17	4451	 80	 80	 4.633	 0.015	 0.035	 0.738	 0.021	 0.042	 36.43	 3.94	 1002.0	   25.8	 	      	1	0	 	0	M17	Simbad	289.75967	+41.28943
 5954222	14.535	 1-17	5103	153	153	 4.500	 0.086	 0.095	 0.770	 0.103	 0.059	 17.23	 1.35	 3823.9	  123.7	 	      	0	0	 	0	M17	Simbad	289.85114	+41.29646
 5954552	14.856	 1-17	3887	 77	 93	 4.743	 0.031	 0.038	 0.553	 0.035	 0.047	 14.69	 1.06	 5186.1	  180.7	 	      	0	0	 	0	M17	Simbad	289.94223	+41.24379
 5955427	15.599	 1-17	4594	138	138	 4.557	 0.060	 0.020	 0.744	 0.049	 0.049	 27.61	 2.18	 1932.3	   56.4	 	      	0	0	 	0	M17	Simbad	290.21960	+41.24681
 5955641	15.678	 1-17	5114	153	153	 4.642	 0.060	 0.035	 0.612	 0.053	 0.026	 23.54	 3.15	  416.3	   21.7	 	      	1	0	 	0	M17	Simbad	290.28253	+41.29481
 5955695	15.675	 2-17	4846	146	146	 4.561	 0.066	 0.033	 0.717	 0.081	 0.054	 38.24	 4.14	 1256.5	   34.4	 	      	0	0	 	0	M17	Simbad	290.29855	+41.22297
 5955846	15.685	 1-17	4315	116	129	 4.637	 0.056	 0.021	 0.605	 0.066	 0.050	 32.38	 2.60	 1485.2	   42.6	 	      	0	0	 	0	M17	Simbad	290.34552	+41.21891
 5956051	13.641	 1-17	4802	143	157	 4.720	 0.049	 0.024	 0.543	 0.033	 0.022	  0.45	     	31351.3	 3000.6	1	      	1	0	 	1	M17	Simbad	290.41107	+41.29048
 5956142	14.765	 1-17	3942	 71	 78	 4.695	 0.039	 0.021	 0.560	 0.037	 0.037	 17.96	 1.81	 1211.2	   43.2	 	      	0	0	 	0	M17	Simbad	290.44269	+41.23176
 5956587	14.953	 1-17	4873	145	145	 4.664	 0.027	 0.063	 0.699	 0.067	 0.067	 24.37	 2.11	 1606.6	   48.0	 	      	 	 	 	0	M17	Simbad	290.58377	+41.28406
 5956680	14.680	 1-17	4511	121	134	 4.612	 0.052	 0.024	 0.642	 0.069	 0.052	 30.42	 2.84	 1133.6	   31.1	 	      	0	0	 	0	M17	Simbad	290.61642	+41.21978
